Home Type,Address,City,State,Zip,Listing Price,Baths,Beds,SQFT,Year Built,Airbnb Cash on Cash
Single Family Residential,2605 Berniece Drive North,Champaign,IL,61822,229900,3,4,3100,1969,3.20796
Single Family Residential,1104 Glen Abbey Drive,Champaign,IL,61822,399900,3,3,3533,2016,3.09803
Single Family Residential,2509 Roland Drive,Champaign,IL,61821,77500,1,3,968,1979,25.1794
Single Family Residential,814 West Clark Street,Champaign,IL,61820,145000,1,3,1801,1928,12.4292
Single Family Residential,1201 Glen Abbey Drive,Champaign,IL,61822,369900,4,4,3321,2016,1.15736
Single Family Residential,707 Kenwood Road,Champaign,IL,61821,120000,2,3,1624,1913,15.479
Single Family Residential,806 South Fair Street,Champaign,IL,61821,115000,1,3,1089,,16.2481
Single Family Residential,203 West William Street,Champaign,IL,61820,92000,1,2,1113,1888,6.89786
Single Family Residential,3306 Sandhill Lane,Champaign,IL,61822,395000,4,3,4222,2003,3.1259
Single Family Residential,2407 Austin Lane,Champaign,IL,61821,139750,1,4,1662,1983,6.70297
